No,Loan_No,Loan_Code,Batch,Township,Region_State,Entity Name,Loan_Type,Company_Registration_No,Source
138,C-00037,02-053,ဒုတိယအသုတ်,ဒဂုံ,ရန်ကုန်တိုင်းဒေသကြီး,"Youth Force Hotel Co.,ltd",သိန်း ၁၀၀၀ အောက်,108795913,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
139,C-00043,02-054,ဒုတိယအသုတ်,မြောက်ဥက္ကလာပ,ရန်ကုန်တိုင်းဒေသကြီး,SUMO Hotel I and II,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
140,C-00046,02-055,ဒုတိယအသုတ်,ပြင်ဦးလွင်,မန္တလေးတိုင်းဒေသကြီး,နှင်းဆီခိုင် ဟိုတယ်,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
141,C-00055,02-056,ဒုတိယအသုတ်,ပြင်ဦးလွင်,မန္တလေးတိုင်းဒေသကြီး,မေမြို့အိမ် Restaurant & Hostel,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
142,C-00063,02-057,ဒုတိယအသုတ်,သီပေါ,ရှမ်းပြည်နယ်,LILY THE HOME HOTEL,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
143,C-00068,02-058,ဒုတိယအသုတ်,မိတ္ထီလာ,မန္တလေးတိုင်းဒေသကြီး,ဝန်ဇင်း ဟိုတယ်,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
144,C-00069,02-059,ဒုတိယအသုတ်,ကလော,ရှမ်းပြည်နယ်,Pine Hill Resort Kalaw,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
145,D-00036,02-060,ဒုတိယအသုတ်,ကျောက်တံတား,ရန်ကုန်တိုင်းဒေသကြီး,Eastern Shining Star Travel & Tours,သိန်း ၁၀၀၀ အောက်,115471740,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
146,D-00063,02-061,ဒုတိယအသုတ်,ကြည့်မြင်တိုင်,ရန်ကုန်တိုင်းဒေသကြီး,"GEM Travel & Tours Co.,ltd",သိန်း ၁၀၀၀ အောက်,100883082,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
147,D-00068,02-062,ဒုတိယအသုတ်,ဗိုလ်တထောင်,ရန်ကုန်တိုင်းဒေသကြီး,Mr. Chef Café & Restaurant,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
148,D-00090,02-063,ဒုတိယအသုတ်,ဗဟန်း,ရန်ကုန်တိုင်းဒေသကြီး,Myanmar Polestar Travels and Tours MYANMAR POLESTAR DMC & MICE MANAGEMENT COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,136521306,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
149,D-00100,02-064,ဒုတိယအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,Beautiful Memories Travels and Tours,သိန်း ၁၀၀၀ အောက်,105089341,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
150,D-00101,02-065,ဒုတိယအသုတ်,မင်္ဂလာတောင်ညွန့်,ရန်ကုန်တိုင်းဒေသကြီး,Royal Holiday Travels & Tours,သိန်း ၁၀၀၀ အောက်,105089341,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
151,D-00104,02-066,ဒုတိယအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,မိုး ခရီးသွားလုပ်ငန်းကုမ္ပဏီ RAIN TRAVELS & TOURS COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,103592844,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
152,D-00106,02-067,ဒုတိယအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,နေကြယ်မင်း ပြည်တွင်းဘုရားဖူးနှင့်ခရီးသွားဝန်ဆောင်မှု,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
153,D-00108,02-068,ဒုတိယအသုတ်,ဒေါပုံ,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေကြေးစည် ဘုရားဖူးနှင့်ခရီးသွား လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
154,D-00115,02-069,ဒုတိယအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,Royal Active Company Limited,သိန်း ၁၀၀၀ အောက်,103499283,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
155,D-00118,02-070,ဒုတိယအသုတ်,ကမာရွတ်,ရန်ကုန်တိုင်းဒေသကြီး,Universal Sky Top,သိန်း ၁၀၀၀ အောက်,103907403,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
156,D-00121,02-071,ဒုတိယအသုတ်,လှိုင်,ရန်ကုန်တိုင်းဒေသကြီး,SANTA MARIA TRAVELS & TOURS COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,104640648,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
157,D-00122,02-072,ဒုတိယအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,"Yangon Plus Co,.Ltd",သိန်း ၁၀၀၀ အောက်,100466414,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
158,D-00128,02-073,ဒုတိယအသုတ်,ဒဂုံ,ရန်ကုန်တိုင်းဒေသကြီး,"EPG Travels & Tours Co,.Ltd",သိန်း ၁၀၀၀ အောက်,103342929,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
159,D-00088,02-074,ဒုတိယအသုတ်,ဗိုလ်တထောင်,ရန်ကုန်တိုင်းဒေသကြီး,"Western Holiday Travel and Tour Co.,ltd",သိန်း ၁၀၀၀ အောက်,108928433,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
160,D-00111,02-075,ဒုတိယအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,Gandawun Shwe Bagan,သိန်း ၁၀၀၀ အောက်,102626125,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
161,D-00114,02-076,ဒုတိယအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,Min Mahar Lawka,သိန်း ၁၀၀၀ အောက်,106345759,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
162,D-00125,02-077,ဒုတိယအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,LANDMARK MYANMAR TRAVELS & TOURS COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,103261759,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
163,E-00006,02-078,ဒုတိယအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,သံလွင် ကဖီး စားသောက်ဖွယ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
164,F-00041,02-079,ဒုတိယအသုတ်,အင်းစိန်,ရန်ကုန်တိုင်းဒေသကြီး,ကြံ သံသပိတ်အချောထည်လုပ်ငန်း၊,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
165,F-00052,02-080,ဒုတိယအသုတ်,ဒဂုံမြို့သစ်(အရှေ့ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,စန်းစတား အထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
166,F-00054,02-081,ဒုတိယအသုတ်,မင်္ဂလာတောင်ညွန့်,ရန်ကုန်တိုင်းဒေသကြီး,Billion Smile Garment,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
167,F-00055,02-082,ဒုတိယအသုတ်,မြောက်ဥက္ကလာပ,ရန်ကုန်တိုင်းဒေသကြီး,THE UTILITY PLASTIC INDUSTRY COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,100055341,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
168,F-00062,02-083,ဒုတိယအသုတ်,ပုဇွန်တောင်,ရန်ကုန်တိုင်းဒေသကြီး,ဦးအောင်အောင် အထည်ချုပ်လုပ်ငန်းများ,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
169,F-00065,02-084,ဒုတိယအသုတ်,သာကေတ,ရန်ကုန်တိုင်းဒေသကြီး,စန္ဒာမြင့် ရွှေပန်းတိမ်စက်ဖြတ် နှင့် ရွှေထည်ဖြန့်ဖြူးရောင်းချရေးလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
170,G-00001,02-085,ဒုတိယအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,မြန်မာ့သုခုမ ကုမ္ပဏီလီမိတက် MYANMAR THU KHU MA COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,101431428,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
171,G-00002,02-086,ဒုတိယအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,"Myanma Power Spectrum Co,.Ltd  မြန်မာ့စွမ်းအားရောင်စဉ်ကုမ္ပဏီလီမီတက်",သိန်း ၁၀၀၀ အောက်,114403520,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
172,G-00005,02-087,ဒုတိယအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,ရွှေစင်ကြယ် ကြိမ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
173,H-00014,02-088,ဒုတိယအသုတ်,သန်လျင်,ရန်ကုန်တိုင်းဒေသကြီး,KK  သဘာဝသစ်သီးအနှစ်ရည်လုပ်ငန်း နှင့် Happy Day ကြော်ငြာလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
174,O-00130,02-089,ဒုတိယအသုတ်,ပုဇွန်တောင်,ရန်ကုန်တိုင်းဒေသကြီး,မြန်မာအောင် ကုမ္ပဏီ,သိန်း ၁၀၀၀ အောက်,103882893,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
175,O-00131,02-090,ဒုတိယအသုတ်,ကျောက်တံတား,ရန်ကုန်တိုင်းဒေသကြီး,"Technoland Computer Trading Co.,ltd",သိန်း ၁၀၀၀ အောက်,100949865,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
176,O-00150,02-091,ဒုတိယအသုတ်,ကမာရွတ်,ရန်ကုန်တိုင်းဒေသကြီး,Myo Myo Fashion,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
177,O-00163,02-092,ဒုတိယအသုတ်,ပုဇွန်တောင်,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေမိသားစု,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
178,O-00092,02-093,ဒုတိယအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,Zabuaye Engineering Service,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
179,O-00103,02-094,ဒုတိယအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,Lin Yaung Chi လင်းရောင်ခြည်အမှတ်တရလက်ဆောင်ပစ္စည်းရောင်းဝယ်ရေး,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
180,O-00003,02-095,ဒုတိယအသုတ်,လမ်းမတော်,ရန်ကုန်တိုင်းဒေသကြီး,"Royal Material Co.,ltd",သိန်း ၁၀၀၀ အောက်,101637034,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
181,O-00143,02-096,ဒုတိယအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,မိုးကောင်းကင် ကားအလိုင်းမင်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
182,O-00164,02-097,ဒုတိယအသုတ်,အင်းစိန်,ရန်ကုန်တိုင်းဒေသကြီး,Green Starlight,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
183,O-00050,02-098,ဒုတိယအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,Infinity Fitness Company Ltd,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
184,O-00110,02-099,ဒုတိယအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,Aung Auto Service,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
185,D-00069,02-100,ဒုတိယအသုတ်,ကြည့်မြင်တိုင်,ရန်ကုန်တိုင်းဒေသကြီး,NooDi Noodle Resturant,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
186,D-00095,02-101,ဒုတိယအသုတ်,မင်္ဂလာတောင်ညွန့်,ရန်ကုန်တိုင်းဒေသကြီး,Wazo Travels Ltd ဝါဆိုခရီးသွားလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,109844438,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
187,D-00074,02-102,ဒုတိယအသုတ်,မင်္ဂလာတောင်ညွန့်,ရန်ကုန်တိုင်းဒေသကြီး,"Kyun Thar Yar Co., Ltd",သိန်း ၁၀၀၀ အောက်,164988600,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
188,D-00091,02-103,ဒုတိယအသုတ်,မရမ်းကုန်း,ရန်ကုန်တိုင်းဒေသကြီး,"Silk Road to Asia Travels & Tours Co.,ltd",သိန်း ၁၀၀၀ အောက်,188927335,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
189,C-00017,02-104,ဒုတိယအသုတ်,ပုသိမ်,ဧရာဝတီတိုင်းဒေသကြီး,Emerald Sea Hotel KYAW HTUN & ASSOCIATES COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,108923598,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
190,C-00041,02-105,ဒုတိယအသုတ်,ပုသိမ်,ဧရာဝတီတိုင်းဒေသကြီး,"Ever Flow River Hotel Group Co., ltd",သိန်း ၁၀၀၀ အောက်,108192046,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
