No,Loan_No,Loan_Code,Batch,Township,Region_State,Entity Name,Loan_Type,Company_Registration_No,Source
13,H-00021,01-013,ပထမအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,"Shwe Hinthar Yeik Mon Co.,Ltd",သိန်း ၁၀၀၀ အထက်,111535442,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
14,D-00001,01-014,ပထမအသုတ်,ဗိုလ်တထောင်,ရန်ကုန်တိုင်းဒေသကြီး,Eastern Princess Travels & Tours,သိန်း ၁၀၀၀ အောက်,113723254,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
15,F-00006,01-015,ပထမအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,MAY MYAT SWE အိမ်တွင်းအထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
16,H-00003,01-016,ပထမအသုတ်,အင်းစိန်,ရန်ကုန်တိုင်းဒေသကြီး,Fresh & Green Cold Storage FRESH & GREEN INTERNATIONAL MANUFACTURING COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,102014472,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
17,F-00009,01-017,ပထမအသုတ်,လှိုင်,ရန်ကုန်တိုင်းဒေသကြီး,ဆန္ဒမွန် တိုင်းရင်းဆေးဝါးထုတ်လုပ်ရေးနှင့် ဖြန့်ချိရေး,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
18,H-00004,01-018,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,ဆွေမျိုးမေ့ ယိုစုံလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
19,O-00025,01-019,ပထမအသုတ်,အင်းစိန်,ရန်ကုန်တိုင်းဒေသကြီး,Rich Life Company Limited,သိန်း ၁၀၀၀ အောက်,105048726,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
20,C-00005,01-020,ပထမအသုတ်,အလုံ,ရန်ကုန်တိုင်းဒေသကြီး,Ngapali Bay Villas & Spa Company Limited,သိန်း ၁၀၀၀ အောက်,112340068,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
21,F-00001,01-021,ပထမအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,MYANMAR’S HEART SOUVENIRMH Shoes,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
22,D-00022,01-022,ပထမအသုတ်,သာကေတ,ရန်ကုန်တိုင်းဒေသကြီး,"The Precious Myanmar Travels & Tours Co.,Ltd",သိန်း ၁၀၀၀ အောက်,115293818,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
23,F-00013,01-023,ပထမအသုတ်,တာမွေ,ရန်ကုန်တိုင်းဒေသကြီး,မန္တလေးသီတာအေး ပရိဘောဂလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
24,C-00002,01-024,ပထမအသုတ်,ဗဟန်း,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေအင်းသား ကုမ္ပဏီလီမိတက်,သိန်း ၁၀၀၀ အောက်,101058115,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
25,C-00004,01-025,ပထမအသုတ်,ပုသိမ်,ဧရာဝတီတိုင်းဒေသကြီး,Grand Hotel,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
26,C-00006,01-026,ပထမအသုတ်,ပုသိမ်,ဧရာဝတီတိုင်းဒေသကြီး,ခိုင် ချောင်းသာဟိုတယ်,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
27,D-00003,01-027,ပထမအသုတ်,အလုံ,ရန်ကုန်တိုင်းဒေသကြီး,"Marvellous Amazing Journey Co.,Ltd",သိန်း ၁၀၀၀ အောက်,117626059,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
28,D-00006,01-028,ပထမအသုတ်,လှိုင်,ရန်ကုန်တိုင်းဒေသကြီး,"Grand Lotus Travels & Tours Co.,Ltd",သိန်း ၁၀၀၀ အောက်,113033568,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
29,D-00008,01-029,ပထမအသုတ်,ပုဇွန်တောင်,ရန်ကုန်တိုင်းဒေသကြီး,"Shan Yoma Travels & Tours Co.,Ltd",သိန်း ၁၀၀၀ အောက်,101145999,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
30,D-00011,01-030,ပထမအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,Marvellous Memory Company Limited Travel and Tours,သိန်း ၁၀၀၀ အောက်,101653080,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
31,D-000012,01-031,ပထမအသုတ်,ပန်းတနော်,ရန်ကုန်တိုင်းဒေသကြီး,"Than Htay and Friends Travel & Tours Co.,Ltd",သိန်း ၁၀၀၀ အောက်,100976269,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
32,D-00024,01-032,ပထမအသုတ်,သင်္ဃန်းကျွန်း,ရန်ကုန်တိုင်းဒေသကြီး,Asia Precious Juction ASIA PRECIOUS JUNCTION COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,105203640,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
33,D-00030,01-033,ပထမအသုတ်,အင်းစိန်,ရန်ကုန်တိုင်းဒေသကြီး,Mandalar Charm Travels & Tours MANDALAR CHARM TRAVELS & TOURS COMPANY LIMITED,သိန်း ၁၀၀၀ အောက်,114420441,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
34,D-00042,01-034,ပထမအသုတ်,စမ်းချောင်း,ရန်ကုန်တိုင်းဒေသကြီး,"One Stop Co.,Ltd",သိန်း ၁၀၀၀ အောက်,155233338,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
35,D-00051,01-035,ပထမအသုတ်,သာကေတ,ရန်ကုန်တိုင်းဒေသကြီး,သုံးရာသီ ဘုရားဖူးလုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
36,E-00001,01-036,ပထမအသုတ်,သင်္ဃန်းကျွန်း,ရန်ကုန်တိုင်းဒေသကြီး,King Restaurant,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
37,F-00002,01-037,ပထမအသုတ်,ဒဂုံမြို့သစ်(တောင်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,ဘိုလေး အထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
38,F-00007,01-038,ပထမအသုတ်,ဒဂုံမြို့သစ်(မြောက်ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,သဇင်ဝင်း အထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
39,F-00008,01-039,ပထမအသုတ်,တောင်ဥက္ကလာပ,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေကမ္ဘာ S.K.B ဖိနပ်,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
40,F-00021,01-040,ပထမအသုတ်,မင်္ဂလာဒုံ,ရန်ကုန်တိုင်းဒေသကြီး,Moe Plastic,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
41,D-00024,01-041,ပထမအသုတ်,လှိုင်သာယာ,ရန်ကုန်တိုင်းဒေသကြီး,ရွှေသစ် သစ်စက်နှင့်သစ်ရောင်းဝယ်ရေး,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
42,D-00029,01-042,ပထမအသုတ်,ဒဂုံမြို့သစ်(အရှေ့ပိုင်း),ရန်ကုန်တိုင်းဒေသကြီး,ရွှေသစ် အထည်ချုပ်လုပ်ငန်း,သိန်း ၁၀၀၀ အောက်,,CORONAVIRUS DISEASE 2019 (COVID-19) ကြောင့် ဖြစ်ပေါ်လာနိုင်သည့် စီးပွားရေးသက်ရောက်မှုများအပေါ် ကုစားရေးလုပ်ငန်းကော်မတီ၏ သတင်းထုတ်ပြန်ချက် (၂/၂၀၂၀) (April 28)
