,No,SR,Township,Case,Tested,PUI,M,F,Child,Adult,Confirmed,Death,Recovered,Latitude,Longitude,FID
0,4,Yangon Region,Insein Township,"3, 6, 34, 35, 36, 37, 38, 40, 54, 55, 56, 58, 59, 61, 72, 73, 84, 93, 94, 123, 127, 130, 141",,,13,10,1,22,23,0,1,16.901771,96.095959,4
1,8,Yangon Region,Bahan Township,"8, 11, 12, 13, 15, 25, 28, 41, 42, 46, 71, 79",,,5,7,0,12,12,0,3,16.815427,96.156112,8
2,13,Yangon Region,South Okkalapa Township,"44, 47, 48, 49, 50, 51, 52, 89, 90, 91, 102, 128",,,7,5,0,12,12,0,1,16.846249,96.179859,13
3,14,Yangon Region,Mayangone Township,"24, 43, 45, 62, 69, 70, 86, 98, 105, 108, 131",,,5,6,0,11,11,1,0,16.86619,96.142611,14
4,21,Yangon Region,Pabedan Township,"39, 65, 66, 67, 68, 95, 133",,,4,3,1,6,7,1,0,16.776983,96.15601,21
5,24,Sagaing Region,Kale Township,"74, 88, 114, 115, 116, 117",,,3,3,1,5,6,0,0,23.1933,94.02977,24
6,1,Chin State,Tedim Township,"1, 23, 31, 78, 113",6124.0,2541.0,2,3,0,5,5,0,0,23.37058,93.65619,1
7,3,Yangon Region,Botahtaung Township,"21, 22, 106, 110, 125",,,3,2,0,5,5,0,0,16.771967,96.169709,3
8,15,Yangon Region,Hlaingtharya Township,"26, 63, 80, 81, 111",,,2,3,0,5,5,0,0,16.85402,96.06893,15
9,12,Bago Region,Paukkhaung Township,"17, 18, 19, 20",,,2,2,2,2,4,1,0,18.9028,95.54819,12
10,9,Yangon Region,Mingaladon Township,"9, 97, 124",,,2,1,0,3,3,0,1,16.94914,96.12795,9
11,18,Bago Region,Pyay Township,"30, 118, 119",,,0,3,0,3,3,0,0,18.82151,95.22103,18
12,20,Yangon Region,Shwepyithar,"33, 57, 60",,,1,2,0,3,3,0,0,16.95504,96.08329,20
13,30,Yangon Region,Tamwe Township,"87, 126, 134",,,3,0,0,3,3,0,0,16.810182,96.17646,30
14,41,Yangon Region,Hlaing Township,"137, 139, 140",,,0,3,0,3,3,0,0,16.847934,96.125227,41
15,6,Yangon Region,Mingalartaungnyunt Township,"5, 10",,,2,0,0,2,2,1,1,16.788908,96.16785899999999,6
16,11,Yangon Region,North Okkalapa Township,"16, 75",,,0,2,0,2,2,1,0,16.918775,96.163028,11
17,17,Shan State (South),Taunggyi Township,"29, 121",,,1,1,0,2,2,0,0,20.77477,97.03598,17
18,26,Yangon Region,Sanchaung Township,"77, 92",,,1,1,0,2,2,0,0,16.803809,96.137291,26
19,31,Shan State (East),Tachileik Township,"96, 112",,,1,1,0,2,2,0,0,20.45304,99.88403,31
20,33,Yangon Region,Dawbon Township,"99, 100",,,2,0,0,2,2,0,0,16.781917,96.18435,33
21,34,Yangon Region,Dagon Myothit (North) Township,"101, 107",,,1,1,0,2,2,0,0,16.87774,96.19079,34
22,37,Yangon Region,Dagon Myothit (East) Township,"120, 142",,,1,1,0,2,2,0,0,16.912805,96.213226,37
23,38,Yangon Region,Thaketa Township,"122, 129",,,1,1,0,2,2,0,0,16.793009,96.202959,38
24,40,Yangon Region,Kyauktada Township,"135, 136",,,1,1,0,2,2,0,0,16.778186,96.160926,40
25,2,Yangon Region,Hmawbi Township,2,,,1,0,0,1,1,0,0,17.09987,96.0418,2
26,5,Mandalay Region,Chanmyathazi Township,4,,,1,0,0,1,1,0,1,21.939404,96.095838,5
27,7,Naypyitaw,Za Bu Thi Ri Township,7,,,0,1,0,1,1,0,1,19.76867364,96.07260872,7
28,10,Shan State (North),Kyaukme Township,14,,,1,0,0,1,1,0,0,22.54172,97.03671,10
29,16,Mon State,Kyaikmaraw Township,27,,,0,1,0,1,1,0,0,16.37045,97.72411,16
30,19,Yangon Region,Hlegu Township,32,,,1,0,0,1,1,0,0,17.09875,96.22745,19
31,22,Magway Region,Myothit Township,53,,,1,0,0,1,1,0,0,20.19919,95.44692,22
32,23,Shan State (East),Monghpyak Township,64,,,1,0,0,1,1,0,0,20.87804,99.92333,23
33,25,Yangon Region,Ahlone Township,76,,,1,0,0,1,1,0,0,16.782398,96.127863,25
34,27,Mandalay Region,Aungmyaythazan Township,82,,,0,1,0,1,1,0,0,21.993206,96.096861,27
35,28,Yangon Region,Pazundaung Township,83,,,1,0,0,1,1,0,0,16.779648,96.174392,28
36,29,Yangon Region,Dagon Myothit (South) Township,85,,,1,0,0,1,1,0,0,16.84016,96.22582,29
37,32,Yangon Region,Thingangyun Township,109,,,1,0,0,1,1,0,0,16.831011,96.19323,32
38,35,Yangon Region,Lanmadaw Township,103,,,1,0,0,1,1,0,0,16.779913,96.142335,35
39,36,Yangon Region,Kamaryut Township,104,,,0,1,0,1,1,0,0,16.827684,96.132439,36
40,39,Mandalay Region,Madaya Township,132,,,0,1,0,1,1,0,0,22.21036,96.10639,39
41,42,Yangon Region,Dagon Township,138,,,1,0,0,1,1,0,0,16.794952,96.1469,42
42,43,Shan State (North),Muse Township,143,,,0,1,0,1,1,0,0,23.98989,97.90165,43
43,44,Kachin State,Mohnyin Township,144,,,1,0,0,1,1,0,0,24.77711317,96.36492597,44
